epoch,train_loss,val_loss
1,8511.481875,8699.414609375
2,8087.00779296875,8361.0826171875
3,7756.30140625,8074.6915234375
4,7521.76111328125,8129.3482421875
5,7336.4225,7809.05015625
6,7173.622109375,7587.72599609375
7,7018.04708984375,7235.73728515625
8,6872.056015625,7200.91787109375
9,6738.9912109375,7259.7089453125
10,6604.1775,7214.2959375
11,6462.58560546875,6829.62712890625
12,6343.036015625,6954.26955078125
13,6195.70294921875,6457.57736328125
14,6076.2819140625,6527.138359375
15,5932.86384765625,6614.5545703125
16,5808.564921875,6569.7553515625
17,5705.49083984375,6493.62681640625
18,5573.75435546875,6310.5868359375
19,5468.3348046875,6391.1262890625
20,5322.80375,6239.8030859375
21,5234.64978515625,5531.7410546875
22,5101.75912109375,6330.33638671875
23,4988.2599609375,5873.7151171875
24,4896.457939453125,5510.660166015625
25,4762.85322265625,5826.019453125
26,4632.01904296875,5055.171318359375
27,4545.97740234375,5767.982900390625
28,4420.36353515625,4691.763037109375
29,4310.05607421875,5186.972490234375
30,4219.712734375,5422.9259765625
31,4119.19853515625,5298.42873046875
32,4005.31595703125,5153.805458984375
33,3861.0714453125,4567.1244921875
34,3802.55625,5041.77923828125
35,3710.9690234375,3925.574658203125
36,3553.86314453125,4499.185556640625
37,3487.002822265625,3768.585087890625
38,3371.78470703125,3343.305986328125
39,3288.431376953125,3728.52033203125
40,3186.8121875,4496.580400390625
41,3075.5374609375,3437.5918359375
42,2993.4325,3739.431796875
43,2908.373017578125,3822.1926220703126
44,2853.942001953125,3048.410625
45,2720.506484375,2532.2486401367187
46,2635.76021484375,3787.29822265625
47,2539.4906591796876,4125.615444335937
48,2453.491318359375,3086.57841796875
49,2327.6721484375,2741.481408691406
50,2282.42490234375,3428.0519775390626
